R version 4.3.3 (2024-02-29) 
Package	Version
abind	1.4-5
AnnotationDbi	1.64.1
AnnotationHub	3.10.0
askpass	1.2.1
base	4.3.3
base64enc	0.1-3
beachmat	2.18.0
BH	1.87.0-1
Biobase	2.62.0
BiocFileCache	2.10.1
BiocGenerics	0.48.1
BiocManager	1.30.26
BiocNeighbors	1.20.0
BiocParallel	1.36.0
BiocSingular	1.18.0
BiocVersion	3.18.1
Biostrings	2.70.1
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
bslib	0.9.0
cachem	1.1.0
celldex	1.12.0
cli	3.6.5
codetools	0.2-20
commonmark	2.0.0
compiler	4.3.3
cpp11	0.5.2
crayon	1.5.3
crosstalk	1.2.2
curl	7.0.0
datasets	4.3.3
DBI	1.2.3
dbplyr	2.5.1
DelayedArray	0.28.0
DelayedMatrixStats	1.24.0
digest	0.6.37
dplyr	1.1.4
DT	0.34.0
ellipsis	0.3.2
evaluate	1.0.5
ExperimentHub	2.10.0
fansi	1.0.6
fastmap	1.2.0
filelock	1.0.3
fontawesome	0.5.3
formatR	1.14
fs	1.6.6
futile.logger	1.4.3
futile.options	1.0.1
generics	0.1.4
GenomeInfoDb	1.38.1
GenomeInfoDbData	1.2.11
GenomicRanges	1.54.1
glue	1.8.0
graphics	4.3.3
grDevices	4.3.3
grid	4.3.3
highr	0.11
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.7
interactiveDisplayBase	1.40.0
IRanges	2.36.0
irlba	2.3.5.1
jquerylib	0.1.4
jsonlite	2.0.0
KEGGREST	1.42.0
knitr	1.50
lambda.r	1.2.4
later	1.4.4
lattice	0.22-7
lazyeval	0.2.2
lifecycle	1.0.4
magrittr	2.0.3
Matrix	1.6-5
MatrixGenerics	1.14.0
matrixStats	1.5.0
memoise	2.0.1
methods	4.3.3
mime	0.13
openssl	2.3.3
parallel	4.3.3
pillar	1.11.0
pkgconfig	2.0.3
plogr	0.2.0
png	0.1-8
promises	1.3.3
purrr	1.1.0
R6	2.6.1
rappdirs	0.3.3
Rcpp	1.1.0
RcppHNSW	0.6.0
RCurl	1.98-1.16
rlang	1.1.6
rmarkdown	2.29
RSQLite	2.4.3
rsvd	1.0.5
S4Arrays	1.2.0
S4Vectors	0.40.2
sass	0.4.10
ScaledMatrix	1.10.0
shiny	1.11.1
SingleR	2.4.0
snow	0.4-4
sourcetools	0.1.7-1
SparseArray	1.2.2
sparseMatrixStats	1.14.0
splines	4.3.3
stats	4.3.3
stats4	4.3.3
stringi	1.8.7
stringr	1.5.2
SummarizedExperiment	1.32.0
sys	3.4.3
tcltk	4.3.3
tibble	3.3.0
tidyr	1.3.1
tidyselect	1.2.1
tinytex	0.57
tools	4.3.3
utf8	1.2.6
utils	4.3.3
vctrs	0.6.5
withr	3.0.2
xfun	0.53
xtable	1.8-4
XVector	0.42.0
yaml	2.3.10
zlibbioc	1.48.0
