R version 4.3.3 (2024-02-29) 
Package	Version
abind	1.4-5
base	4.3.3
base64enc	0.1-3
beachmat	2.18.0
beeswarm	0.4.0
BH	1.87.0-1
Biobase	2.62.0
BiocGenerics	0.48.1
BiocIO	1.12.0
BiocNeighbors	1.20.0
BiocParallel	1.36.0
BiocSingular	1.18.0
Biostrings	2.70.1
bitops	1.0-9
bluster	1.12.0
Cairo	1.6-2
cli	3.6.5
cluster	2.1.8.1
codetools	0.2-20
colorspace	2.1-1
compiler	4.3.3
cpp11	0.5.2
crayon	1.5.3
data.table	1.17.8
datasets	4.3.3
DelayedArray	0.28.0
DelayedMatrixStats	1.24.0
dqrng	0.3.2
edgeR	4.0.16
ellipsis	0.3.2
fansi	1.0.6
farver	2.1.2
FNN	1.1.4.1
formatR	1.14
futile.logger	1.4.3
futile.options	1.0.1
GenomeInfoDb	1.38.1
GenomeInfoDbData	1.2.11
GenomicAlignments	1.38.0
GenomicRanges	1.54.1
ggbeeswarm	0.7.2
ggplot2	3.5.2
ggrastr	1.0.2
ggrepel	0.9.6
glue	1.8.0
graphics	4.3.3
grDevices	4.3.3
grid	4.3.3
gridExtra	2.3
gtable	0.3.6
igraph	2.1.4
IRanges	2.36.0
irlba	2.3.5.1
isoband	0.2.7
jsonlite	2.0.0
labeling	0.4.3
lambda.r	1.2.4
lattice	0.22-7
lifecycle	1.0.4
limma	3.58.1
locfit	1.5-9.12
magrittr	2.0.3
MASS	7.3-60.0.1
Matrix	1.6-5
MatrixGenerics	1.14.0
matrixStats	1.5.0
metapod	1.10.0
methods	4.3.3
mgcv	1.9-3
munsell	0.5.1
nlme	3.1-168
parallel	4.3.3
pheatmap	1.0.13
pillar	1.11.0
pkgconfig	2.0.3
png	0.1-8
R6	2.6.1
ragg	1.5.0
RColorBrewer	1.1-3
Rcpp	1.1.0
RcppAnnoy	0.0.22
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppML	0.3.7
RcppProgress	0.4.2
RCurl	1.98-1.17
restfulr	0.0.15
Rhtslib	2.4.0
rjson	0.2.23
rlang	1.1.6
Rsamtools	2.18.0
RSpectra	0.16-2
rsvd	1.0.5
rtracklayer	1.62.0
Rtsne	0.17
S4Arrays	1.2.0
S4Vectors	0.40.2
ScaledMatrix	1.10.0
scales	1.4.0
scater	1.30.1
scDblFinder	1.16.0
scran	1.30.0
scuttle	1.12.0
SingleCellExperiment	1.24.0
sitmo	2.0.2
snow	0.4-4
SparseArray	1.2.2
sparseMatrixStats	1.14.0
splines	4.3.3
statmod	1.5.0
stats	4.3.3
stats4	4.3.3
SummarizedExperiment	1.32.0
systemfonts	1.2.3
tcltk	4.3.3
textshaping	0.4.0
tibble	3.3.0
tools	4.3.3
utf8	1.2.6
utils	4.3.3
uwot	0.2.3
vctrs	0.6.5
vipor	0.4.7
viridis	0.6.5
viridisLite	0.4.2
withr	3.0.2
xgboost	3.0.5.1
XML	3.99-0.17
XVector	0.42.0
yaml	2.3.10
zlibbioc	1.48.0
