sample_id,format,n_files_total,h5_path,matrix_path,barcodes_path,genefeat_path,n_mtx_found,n_barcode_found,n_genefeat_found
GSM6939028_MMRF_1695,triplet-ok,3,,raw/samples/GSM6939028_MMRF_1695/MMRF_1695/counts.mtx,raw/samples/GSM6939028_MMRF_1695/MMRF_1695/barcodes.tsv,raw/samples/GSM6939028_MMRF_1695/MMRF_1695/genes.tsv,1,1,1
GSM6939029_MMRF_1325,triplet-ok,3,,raw/samples/GSM6939029_MMRF_1325/MMRF_1325/counts.mtx,raw/samples/GSM6939029_MMRF_1325/MMRF_1325/barcodes.tsv,raw/samples/GSM6939029_MMRF_1325/MMRF_1325/genes.tsv,1,1,1
GSM6939030_MMRF_1413,triplet-ok,3,,raw/samples/GSM6939030_MMRF_1413/MMRF_1413/counts.mtx,raw/samples/GSM6939030_MMRF_1413/MMRF_1413/barcodes.tsv,raw/samples/GSM6939030_MMRF_1413/MMRF_1413/genes.tsv,1,1,1
GSM6939031_MMRF_1537,triplet-ok,3,,raw/samples/GSM6939031_MMRF_1537/MMRF_1537/counts.mtx,raw/samples/GSM6939031_MMRF_1537/MMRF_1537/barcodes.tsv,raw/samples/GSM6939031_MMRF_1537/MMRF_1537/genes.tsv,1,1,1
GSM6939032_MMRF_1640,triplet-ok,3,,raw/samples/GSM6939032_MMRF_1640/MMRF_1640/counts.mtx,raw/samples/GSM6939032_MMRF_1640/MMRF_1640/barcodes.tsv,raw/samples/GSM6939032_MMRF_1640/MMRF_1640/genes.tsv,1,1,1
GSM6939033_MMRF_1941,triplet-ok,3,,raw/samples/GSM6939033_MMRF_1941/MMRF_1941/counts.mtx,raw/samples/GSM6939033_MMRF_1941/MMRF_1941/barcodes.tsv,raw/samples/GSM6939033_MMRF_1941/MMRF_1941/genes.tsv,1,1,1
GSM6939034_MMRF_1967,triplet-ok,3,,raw/samples/GSM6939034_MMRF_1967/MMRF_1967/counts.mtx,raw/samples/GSM6939034_MMRF_1967/MMRF_1967/barcodes.tsv,raw/samples/GSM6939034_MMRF_1967/MMRF_1967/genes.tsv,1,1,1
GSM6939035_MMRF_2038,triplet-ok,3,,raw/samples/GSM6939035_MMRF_2038/MMRF_2038/counts.mtx,raw/samples/GSM6939035_MMRF_2038/MMRF_2038/barcodes.tsv,raw/samples/GSM6939035_MMRF_2038/MMRF_2038/genes.tsv,1,1,1
GSM6939036_MMRF_2168,triplet-ok,3,,raw/samples/GSM6939036_MMRF_2168/MMRF_2168/counts.mtx,raw/samples/GSM6939036_MMRF_2168/MMRF_2168/barcodes.tsv,raw/samples/GSM6939036_MMRF_2168/MMRF_2168/genes.tsv,1,1,1
GSM6939037_MMRF_1267,triplet-ok,3,,raw/samples/GSM6939037_MMRF_1267/MMRF_1267/counts.mtx,raw/samples/GSM6939037_MMRF_1267/MMRF_1267/barcodes.tsv,raw/samples/GSM6939037_MMRF_1267/MMRF_1267/genes.tsv,1,1,1
GSM6939038_MMRF_1686,triplet-ok,3,,raw/samples/GSM6939038_MMRF_1686/MMRF_1686/counts.mtx,raw/samples/GSM6939038_MMRF_1686/MMRF_1686/barcodes.tsv,raw/samples/GSM6939038_MMRF_1686/MMRF_1686/genes.tsv,1,1,1
