sample_name,sample_type,chemistry,cohort,n_cells_pre,n_outlier_counts,n_outlier_genes,n_outlier_top20,n_outlier_mt,n_outlier_min_genes,n_doublet,n_kept,n_removed,pct_removed,median_genes_post,median_counts_post,median_pct_mt_post
25183,myeloma,10x 3' v2,WU1,2141,0,9,1995,58,0,106,1968,173,8.080336291452593,733.0,3817.5,0.88879484
27522_1,myeloma,10x 3' v2,WU1,3944,0,8,1453,365,0,248,3337,607,15.390466531440163,1036.0,3606.0,3.3266802
27522_2,myeloma,10x 3' v2,WU1,2372,0,11,1094,493,0,108,1783,589,24.831365935919056,897.0,3701.0,3.96002
27522_3,myeloma,10x 3' v2,WU1,2727,0,17,330,143,0,140,2433,294,10.781078107810782,1270.0,4419.0,3.7367303
27522_4,myeloma,10x 3' v2,WU1,5074,0,88,1266,138,0,364,4497,577,11.37169885691762,1610.0,5601.0,4.0636277
27522_5,myeloma,10x 3' v2,WU1,1136,0,52,475,40,0,32,1014,122,10.73943661971831,776.0,6034.5,3.025725
27522_6,myeloma,10x 3' v2,WU1,6257,0,98,803,2670,0,500,3158,3099,49.528528048585585,1485.0,5126.0,6.696118
37692_2,myeloma,10x 3' v2,WU1,3110,0,0,87,65,0,179,2867,243,7.813504823151125,901.0,2860.0,4.2129455
47491_1,myeloma,10x 3' v2,WU1,1489,0,3,281,40,0,59,1387,102,6.850235057085293,841.0,2927.0,4.1196666
47491_2,myeloma,10x 3' v2,WU1,1257,0,0,186,71,0,47,1139,118,9.387430389817025,838.0,2553.0,4.644128
56203_1,myeloma,10x 3' v2,WU1,1837,0,1,649,125,0,80,1634,203,11.0506260206859,1083.5,3625.0,4.6403346
56203_2,myeloma,10x 3' v2,WU1,3336,0,0,51,152,0,188,3000,336,10.071942446043165,1213.0,4504.0,4.69888
57075_3,myeloma,10x 3' v2,WU1,4218,0,0,151,124,0,267,3831,387,9.174964438122332,851.0,2299.0,4.012915
58408_1,myeloma,10x 3' v2,WU1,2417,0,0,41,59,0,131,2230,187,7.736863880844021,910.5,2660.0,4.1105194
58408_2,myeloma,10x 3' v2,WU1,3773,0,1,126,109,0,198,3466,307,8.136761197985688,1097.0,3040.0,3.644175
59114_1,myeloma,10x 3' v2,WU1,2488,0,1,30,59,0,131,2299,189,7.596463022508039,753.0,1870.0,4.06639
59114_4,myeloma,10x 3' v2,WU1,3333,0,0,91,127,0,187,3024,309,9.270927092709272,1116.0,3364.5,3.6016183
60359_1,myeloma,10x 3' v2,WU1,7002,0,0,57,142,0,620,6245,757,10.811196800914024,1160.0,3742.0,4.4413495
60359_2,myeloma,10x 3' v2,WU1,2767,0,0,23,322,0,161,2291,476,17.202746657029273,994.0,2940.0,5.737449
77570,myeloma,10x 3' v2,WU1,4130,0,1,342,301,0,238,3616,514,12.4455205811138,1226.0,3281.0,5.0809937
81012_1,myeloma,10x 3' v2,WU1,2643,0,0,145,118,0,140,2390,253,9.572455542943624,777.0,2667.5,4.2437587
81012_2,myeloma,10x 3' v2,WU1,1380,0,2,182,42,0,57,1281,99,7.173913043478261,1013.0,3356.0,4.11449
83942,myeloma,10x 3' v2,WU1,6351,0,1,1166,163,0,487,5706,645,10.155880963627775,1551.0,4947.0,3.5596561
BM2,normal_bm,10x 3' v3.2,Donor,9328,693,908,638,735,0,1060,6804,2524,27.058319039451113,1131.5,3350.0,5.795143
BM4,normal_bm,10x 3' v3.2,Donor,8546,370,360,423,1928,0,952,5447,3099,36.26257898432015,1092.0,4343.0,7.129032
BM5,normal_bm,10x 3' v3.2,Donor,7599,514,514,936,972,0,803,5462,2137,28.12212133175418,1189.0,3994.5,5.886444
BM6,normal_bm,10x 3' v3.2,Donor,6645,460,393,888,1005,0,596,4672,1973,29.691497366440935,1246.0,4250.5,6.2314067
MMRF_1267,myeloma,10x 3' v3.3,MMRF,2602,0,0,765,0,0,121,2481,121,4.650269023827825,1655.0,6074.0,5.617765
MMRF_1325,myeloma,10x 3' v3.3,MMRF,509,0,0,130,0,0,14,495,14,2.75049115913556,1609.0,5208.0,7.3424497
MMRF_1413,myeloma,10x 3' v3.3,MMRF,2561,0,0,648,0,0,127,2434,127,4.959000390472472,1812.5,5607.5,5.8752804
MMRF_1424,myeloma,10x 3' v3.3,MMRF,1952,0,0,154,0,0,88,1864,88,4.508196721311475,1947.0,6341.0,7.056679
MMRF_1505,myeloma,10x 3' v3.3,MMRF,3753,0,0,1905,0,0,213,3540,213,5.675459632294165,3012.5,24475.0,2.6087363
MMRF_1537,myeloma,10x 3' v3.3,MMRF,3643,0,0,96,0,0,204,3439,204,5.599780400768597,919.0,1995.0,5.144291
MMRF_1640,myeloma,10x 3' v3.3,MMRF,1867,0,0,472,0,0,79,1788,79,4.231387252276379,1717.0,6982.5,6.658204
