group,metric,n_cells,median,mad,n_mads,lower,upper,n_below,n_above,mt_derived_upper,mt_capped_at,mt_bound_by,group_key
Donor,log1p_total_counts,48150,8.227108001708984,0.37078857421875,5.0,6.373165130615234,10.081050872802734,509,1528,11.696491479873657,20.0,mad,cohort
Donor,log1p_n_genes_by_counts,48150,7.01301578963963,0.25492128521189983,5.0,5.738409363580131,8.28762221569913,640,1539,11.696491479873657,20.0,mad,cohort
Donor,pct_counts_in_top_20_genes,48150,28.328155015735913,3.2409933041273433,5.0,12.123188495099196,44.53312153637263,5,2970,11.696491479873657,20.0,mad,cohort
Donor,pct_counts_mt,48150,5.354534149169922,2.113985776901245,3.0,-inf,11.696491479873657,0,4640,11.696491479873657,20.0,mad,cohort
MMRF,log1p_total_counts,36814,8.918717384338379,0.9356184005737305,5.0,4.240625381469727,13.596809387207031,0,0,12.626184821128845,20.0,mad,cohort
MMRF,log1p_n_genes_by_counts,36814,7.595889917718538,0.5717457975278313,5.0,4.737160930079382,10.454618905357695,0,0,12.626184821128845,20.0,mad,cohort
MMRF,pct_counts_in_top_20_genes,36814,26.88109825962284,6.373652637612544,5.0,-4.987164928439881,58.74936144768556,0,6404,12.626184821128845,20.0,mad,cohort
MMRF,pct_counts_mt,36814,5.882043123245239,2.2480472326278687,3.0,-inf,12.626184821128845,0,0,12.626184821128845,20.0,mad,cohort
WU1,log1p_total_counts,75182,8.166500091552734,0.41373538970947266,5.0,6.097823143005371,10.235177040100098,0,0,8.615790963172913,20.0,mad,cohort
WU1,log1p_n_genes_by_counts,75182,6.999422467507961,0.3184537311185345,5.0,5.407153811915289,8.591691123100635,293,0,8.615790963172913,20.0,mad,cohort
WU1,pct_counts_in_top_20_genes,75182,29.104341182569783,4.301757239195968,5.0,7.595554986589942,50.61312737854962,0,11024,8.615790963172913,20.0,mad,cohort
WU1,pct_counts_mt,75182,4.329376697540283,1.4288047552108765,3.0,-inf,8.615790963172913,0,5926,8.615790963172913,20.0,mad,cohort
WU2,log1p_total_counts,43894,8.101677894592285,0.4539661407470703,5.0,5.831847190856934,10.371508598327637,0,0,12.939311504364014,20.0,mad,cohort
WU2,log1p_n_genes_by_counts,43894,7.088408778675395,0.3245238701129596,5.0,5.465789428110597,8.711028129240193,20,0,12.939311504364014,20.0,mad,cohort
WU2,pct_counts_in_top_20_genes,43894,29.198574714398347,6.99429643196288,5.0,-5.7729074454160525,64.17005687421275,0,1506,12.939311504364014,20.0,mad,cohort
WU2,pct_counts_mt,43894,5.944873571395874,2.33147931098938,3.0,-inf,12.939311504364014,0,5518,12.939311504364014,20.0,mad,cohort
