leiden,batch_key,Donor,MMRF,WU1,WU2,n_cells,entropy,dominant,dominant_pct
0,cohort,32,1,10319,76,10428,0.0468228611874009,WU1,98.95473724587649
1,cohort,4,1,2818,15,2838,0.033749437957921305,WU1,99.2952783650458
2,cohort,349,1048,651,763,2811,0.9518817103171741,MMRF,37.28210601209534
3,cohort,2934,18,8784,83,11819,0.44085770802290314,WU1,74.32100854556222
4,cohort,23,30,12,11321,11386,0.02964658676135213,WU2,99.42912348498155
5,cohort,698,1422,8,302,2430,0.6851662047755182,MMRF,58.51851851851851
6,cohort,0,0,0,49,49,-0.0,WU2,100.0
7,cohort,243,10146,0,104,10493,0.11934609142113368,MMRF,96.69303345087201
8,cohort,209,876,48,359,1492,0.7511525404920212,MMRF,58.71313672922251
9,cohort,1905,6476,2,31,8414,0.40426802755288704,MMRF,76.96695982885666
10,cohort,4564,1290,2969,1517,10340,0.90927233676027,Donor,44.13926499032882
11,cohort,0,29,0,1,30,0.10542115015926608,MMRF,96.66666666666667
12,cohort,3005,2430,172,4706,10313,0.8123766539677252,WU2,45.631726946572286
13,cohort,2192,79,4660,151,7082,0.555858980119095,WU1,65.80062129341994
14,cohort,1972,2,10079,66,12119,0.34521863194415764,WU1,83.1669279643535
15,cohort,2277,3119,133,4240,9769,0.8113190732676442,WU2,43.402600061418774
16,cohort,56,7,285,12,360,0.47925144930631997,WU1,79.16666666666666
17,cohort,734,959,1564,633,3890,0.9533866055670928,WU1,40.20565552699229
18,cohort,2923,11,9587,28,12549,0.4074596896749421,WU1,76.39652561957128
19,cohort,1647,485,1240,574,3946,0.9136137475839875,Donor,41.738469336036495
20,cohort,6154,3213,189,5631,15187,0.8058237459630697,Donor,40.52149865016132
21,cohort,1013,344,391,138,1886,0.8380283363381749,Donor,53.71155885471898
22,cohort,315,456,470,266,1507,0.9798876354770867,WU1,31.187790311877905
23,cohort,2974,995,4776,2679,11424,0.9144047587420451,WU1,41.806722689075634
24,cohort,170,484,547,186,1387,0.9096503777919616,WU1,39.437635183850034
25,cohort,536,495,3165,830,5026,0.761467309403949,WU1,62.972542777556704
26,cohort,330,464,177,175,1146,0.9377761009510265,MMRF,40.48865619546248
27,cohort,12,9,1550,971,2542,0.5154175802770369,WU1,60.97560975609756
28,cohort,0,187,0,0,187,-0.0,MMRF,100.0
29,cohort,0,0,0,90,90,-0.0,WU2,100.0
