leiden,batch_key,33538,33694,n_cells,entropy,dominant,dominant_pct
0,n_genes_ref,155,10273,10428,0.11153772049986593,33694,98.51361718450326
1,n_genes_ref,156,2682,2838,0.3071382356214006,33694,94.5031712473573
2,n_genes_ref,2098,713,2811,0.8170065261919405,33538,74.63536108146567
3,n_genes_ref,704,11115,11819,0.3257161321052414,33694,94.04348929689483
4,n_genes_ref,11368,18,11386,0.01698918357102607,33538,99.84191111891796
5,n_genes_ref,2348,82,2430,0.2128376932252069,33538,96.62551440329217
6,n_genes_ref,49,0,49,-0.0,33538,100.0
7,n_genes_ref,10486,7,10493,0.00799999892103572,33538,99.93328885923948
8,n_genes_ref,1461,31,1492,0.1457838968116022,33538,97.92225201072387
9,n_genes_ref,8412,2,8414,0.003204444893376264,33538,99.97623009270264
10,n_genes_ref,5894,4446,10340,0.9858071709857733,33538,57.00193423597679
11,n_genes_ref,30,0,30,-0.0,33538,100.0
12,n_genes_ref,10140,173,10313,0.12292804048208048,33538,98.32250557548726
13,n_genes_ref,953,6129,7082,0.5698301484005052,33694,86.54334933634567
14,n_genes_ref,812,11307,12119,0.35463563239154633,33694,93.2997772093407
15,n_genes_ref,9124,645,9769,0.35091218919910405,33538,93.39748183027946
16,n_genes_ref,355,5,360,0.10559103637519525,33538,98.61111111111111
17,n_genes_ref,2258,1632,3890,0.9812377867879715,33538,58.04627249357327
18,n_genes_ref,769,11780,12549,0.332504370628033,33694,93.87202167503386
19,n_genes_ref,1993,1953,3946,0.9999258761784127,33538,50.5068423720223
20,n_genes_ref,14746,441,15187,0.18954425831199476,33538,97.09620069796536
21,n_genes_ref,1299,587,1886,0.8946004701011845,33538,68.87592788971368
22,n_genes_ref,959,548,1507,0.9456603046006401,33538,63.63636363636363
23,n_genes_ref,5523,5901,11424,0.9992101019746854,33694,51.654411764705884
24,n_genes_ref,857,530,1387,0.9595253412758666,33538,61.788031723143476
25,n_genes_ref,1675,3351,5026,0.9182294979826023,33694,66.67329884600079
26,n_genes_ref,901,245,1146,0.7486595272005104,33538,78.62129144851659
27,n_genes_ref,1828,714,2542,0.856648725090353,33538,71.91188040912667
28,n_genes_ref,187,0,187,-0.0,33538,100.0
29,n_genes_ref,90,0,90,-0.0,33538,100.0
