leiden,batch_key,25183,27522,37692,47491,56203,57075,58408,59114,60359,77570,81012,83942,BM2,BM4,BM5,BM6,MMRF_1267,MMRF_1325,MMRF_1413,MMRF_1424,MMRF_1505,MMRF_1537,MMRF_1640,MMRF_1641,MMRF_1686,MMRF_1695,MMRF_1720,MMRF_1777,MMRF_1941,MMRF_1967,MMRF_2038,MMRF_2168,MMRF_2251,MMRF_2259,MMY18273,MMY21940,MMY22933,MMY34339,MMY34600,MMY40511,MMY47218,MMY67868,MMY70893,MMY74196,MMY80649,MMY98423,ND_083017,ND_090617,ND_170531,ND_170607,n_cells,entropy,dominant,dominant_pct
0,patient_id,1835,1401,149,476,866,203,171,128,74,688,359,4008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,11,0,0,0,5,2,1,1,3,2,9,8,6,8,10428,0.49328976377079786,83942,38.43498273878021
1,patient_id,130,2303,21,22,104,18,15,18,30,8,36,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,3,0,0,0,0,2,0,0,2838,0.22730214513122085,27522,81.14869626497534
2,patient_id,2,106,3,11,71,17,0,16,9,3,15,793,115,36,12,78,71,10,20,48,104,163,27,21,25,29,41,21,33,44,62,61,188,80,17,31,55,29,4,20,30,56,14,19,40,53,0,67,41,0,2811,0.7906523025614233,83942,28.210601209533976
3,patient_id,0,1142,526,335,696,1187,1728,574,1150,307,365,790,50,65,116,126,2,0,2,2,2,0,1,0,0,1,2,1,0,1,1,1,2,0,0,9,0,0,13,1,10,7,8,8,10,1,869,887,504,317,11819,0.6948948416977052,58408,14.620526271258145
4,patient_id,1,3,0,0,0,0,0,0,0,2,1,3606,3,4,5,3,2,0,0,1,7,5,0,1,0,0,1,0,1,0,3,1,4,4,203,874,1663,375,170,496,812,1287,107,283,1339,111,3,2,0,3,11386,0.5460093489934623,83942,31.670472510100122
5,patient_id,0,7,0,0,0,0,0,0,0,0,0,27,235,91,188,103,116,30,62,70,119,239,63,23,45,57,115,61,51,48,83,76,65,99,9,31,41,10,3,21,19,86,8,8,24,16,23,35,9,14,2430,0.8464379373799342,MMRF_1537,9.835390946502057
6,patient_id,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.12934713529171846,MMY22933,79.59183673469387
7,patient_id,0,0,0,0,0,0,0,0,0,0,0,66,31,50,81,74,529,107,488,68,2454,116,575,224,34,31,922,100,65,60,568,72,3060,673,4,4,15,1,0,0,5,3,0,0,6,0,0,4,0,3,10493,0.5789577407368476,MMRF_2251,29.162298675307348
8,patient_id,0,18,1,0,3,5,0,0,15,1,5,2,104,44,40,21,113,14,16,41,78,61,51,33,58,32,29,31,32,57,94,46,14,76,12,48,7,2,18,41,55,8,34,27,34,71,0,0,0,0,1492,0.8720827670885531,MMRF_1267,7.57372654155496
9,patient_id,0,2,0,0,0,0,0,0,0,0,0,10,440,221,662,580,506,120,440,318,324,1784,182,117,113,142,966,261,230,152,254,218,90,259,0,3,2,0,1,4,1,0,2,3,2,3,2,0,0,0,8414,0.7108499116535991,MMRF_1537,21.202757309246493
