leiden,n_cells,n_patients,entropy_cohort,dominant_cohort,MZB1,SDC1,TNFRSF17,CD3D,NKG7,LYZ,MS4A1,plasma_like
0,10428,27,0.0468228611874009,WU1,96.5,44.5,80.9,2.1,4.9,20.2,25.8,True
1,2838,19,0.033749437957921305,WU1,21.8,3.0,8.1,4.8,4.6,34.3,2.6,False
2,2811,47,0.9518817103171741,MMRF,76.3,34.4,43.5,3.1,12.0,25.4,32.1,True
3,11819,40,0.44085770802290314,WU1,14.3,0.7,2.0,86.7,83.2,40.5,3.5,False
4,11386,35,0.02964658676135213,WU2,94.2,49.5,67.1,2.6,6.9,14.5,24.7,True
5,2430,40,0.6851662047755182,MMRF,22.0,5.4,6.9,4.6,6.3,29.0,2.3,False
6,49,2,-0.0,WU2,67.3,14.3,18.4,0.0,0.0,0.0,0.0,True
7,10493,32,0.11934609142113368,MMRF,97.4,64.3,81.0,1.0,2.2,21.4,1.6,True
8,1492,42,0.7511525404920212,MMRF,25.1,1.1,2.2,3.5,7.2,39.2,1.0,False
9,8414,34,0.40426802755288704,MMRF,11.8,1.3,2.0,1.1,2.3,28.9,0.5,False
10,10340,49,0.90927233676027,Donor,24.5,0.7,4.5,4.3,7.9,26.3,90.2,False
11,30,2,0.10542115015926608,MMRF,86.7,3.3,16.7,0.0,6.7,96.7,0.0,True
12,10313,43,0.8123766539677252,WU2,10.0,0.9,1.4,90.6,94.3,9.7,5.6,False
13,7082,47,0.555858980119095,WU1,11.3,0.5,1.6,88.1,15.1,46.7,1.8,False
14,12119,31,0.34521863194415764,WU1,15.2,1.1,2.3,6.8,21.0,99.9,1.3,False
15,9769,44,0.8113190732676442,WU2,9.9,0.9,1.5,2.0,20.4,99.7,0.8,False
16,360,17,0.47925144930631997,WU1,1.7,0.3,0.0,1.1,14.7,85.8,0.6,False
17,3890,49,0.9533866055670928,WU1,14.2,1.2,2.4,3.6,50.0,97.7,1.5,False
18,12549,34,0.4074596896749421,WU1,12.6,0.6,1.8,79.9,11.9,44.9,1.3,False
19,3946,47,0.9136137475839875,Donor,9.4,0.4,1.4,89.4,17.2,30.2,1.4,False
20,15187,46,0.8058237459630697,Donor,6.5,0.7,1.2,84.9,9.3,10.8,1.5,False
21,1886,46,0.8380283363381749,Donor,75.5,0.7,5.6,2.7,6.8,24.0,38.0,True
22,1507,46,0.9798876354770867,WU1,13.2,1.1,2.9,2.9,27.9,99.7,0.7,False
23,11424,49,0.9144047587420451,WU1,13.7,0.8,1.9,13.2,99.5,24.1,1.1,False
24,1387,48,0.9096503777919616,WU1,42.9,1.7,2.1,5.2,23.1,52.6,3.0,True
25,5026,48,0.761467309403949,WU1,16.8,1.3,3.2,6.5,27.3,96.6,1.2,False
26,1146,45,0.9377761009510265,MMRF,89.9,0.8,14.8,3.0,23.0,28.8,1.0,True
27,2542,25,0.5154175802770369,WU1,26.8,4.0,8.7,4.8,18.0,35.0,2.4,False
28,187,1,-0.0,MMRF,100.0,23.5,89.8,0.5,0.5,0.5,3.2,True
29,90,2,-0.0,WU2,100.0,81.1,87.8,1.1,6.7,22.2,0.0,True
