symbol,highly_variable,means,dispersions_norm,highly_variable_nbatches
TNFRSF17,True,0.4921220962120719,1.2499275,32
GPRC5D,False,0.06119420120549573,-0.13119423,6
SLAMF7,True,0.39243888541395866,0.5806029,12
FCRL5,True,0.32006190843211973,1.2802721,31
SDC1,True,0.3125696583252079,0.9101475,24
CD38,True,0.34372789277268895,0.899364,25
ITGB7,False,0.4211438952019826,0.43603683,3
NCSTN,False,0.18325090280156084,0.17057842,1
MZB1,True,1.4956077061818474,2.6348982,41
XBP1,False,1.08935840625991,0.44144005,6
IRF4,True,0.3058669948929411,1.4251667,38
MS4A1,True,0.5749899481081282,3.2924948,48
CD3D,True,1.146528028935562,1.1538126,27
NKG7,True,1.8725763628438972,2.4037974,46
LYZ,True,3.0921188043725203,2.8584714,49
HBB,True,3.9694598690657377,1.8199561,31
CD34,False,0.04785430072354357,0.34128147,9
NSD2,True,0.268546679434132,0.6912641,16
CCND1,True,0.31615953117527723,0.9352119,22
MYC,True,0.3854124614205825,1.0057698,28
