leiden,n_cells,dominant_cohort,median_UMI,pct_in_9000_9999,pct_above_10k
4,11386,WU2,4815.5,8.317231688037943,0.11417530300368874
7,10493,MMRF,24863.0,1.2198608596206995,68.04536357571715
0,10428,WU1,5162.0,7.5469888761028,0.0
2,2811,MMRF,7333.0,8.039843472073995,27.748132337246535
21,1886,Donor,2663.5,0.2120890774125133,1.0604453870625663
24,1387,WU1,5351.0,3.8932948810382118,27.180966113914923
26,1146,MMRF,6665.5,6.980802792321117,22.68760907504363
28,187,MMRF,17268.0,2.13903743315508,88.23529411764706
29,90,WU2,5958.5,16.666666666666664,0.0
6,49,WU2,1149.0,0.0,0.0
11,30,MMRF,1254.5,0.0,0.0
